Year,Host,Winner,Runners-Up,Third,Fourth,Goals Scored,Qualified Countries,Matches Played,Attendance,Attendance Per Game,Goals Per Game
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549,32808.27778,3.888888889
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000,21352.94118,4.117647059
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700,20872.22222,4.666666667
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246,47511.18182,4
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768607,29561.80769,5.384615385
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810,23423.14286,3.6
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172,27911.625,2.78125
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1563135,48847.96875,2.78125
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1603975,50124.21875,2.96875
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1865753,49098.76316,2.552631579
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791,40678.71053,2.684210526
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2109723,40571.59615,2.807692308
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2394031,46039.05769,2.538461538
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2516215,48388.75,2.211538462
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538,68991.11538,2.711538462
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100,43517.1875,2.671875
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197,42268.70313,2.515625
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439,52491.23438,2.296875
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856,49669.625,2.265625
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810,52918.90625,2.671875
